IKASHOP_MONEY_INPUT_DIALOG_TITLE	Insert Price
IKASHOP_AUCTION_CREATE_BOARD_TITLE	Select Item
IKASHOP_AUCTION_CREATE_REMOVE_ITEM	|Eemoji/key_lclick|e Remove Item
IKASHOP_ACUTION_CREATE_CREATE_BUTTON	Create
IKASHOP_ACUTION_CANCEL_AUCTION_BUTTON	Cancel
IKASHOP_AUCTION_CANNOT_CANCEL	You cannot cancel the auction if it has received bids.
IKASHOP_AUCTION_CANCEL_AUCTION_QUESTION	The item will be transferred to the Shopping Safebox. Are you sure you want to close the auction?
IKASHOP_AUCTION_MIN_BID	Min. Raise
IKASHOP_MY_AUCTION_CREATION_DURATION	|cFFFFFF88Three Days|h|r
IKASHOP_DATETIME_TODAY	Today {:02d}:{:02d}
IKASHOP_DATETIME_YESTERDAY	Yesterday {:02d}:{:02d}
IKASHOP_DATETIME_TOMORROW	Tomorrow {:02d}:{:02d}
IKASHOP_SEARCH_SHOP_BOARD_TITLE	Search Shop
IKASHOP_SEARCH_SHOP_SEARCH_BUTTON_TEXT	Search
IKASHOP_SEARCH_SHOP_AUCTION_LIST_BUTTON_TEXT	Auctions
IKASHOP_SEARCH_SHOP_HISTORY_BUTTON_TEXT	History
IKASHOP_SEARCH_SHOP_RESET_FILTER_BUTTON_TEXT	Cancel Filters
IKASHOP_SEARCH_SHOP_ITEM_TYPE_HEADER	Type
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_HEADER	Sub-type
IKASHOP_SEARCH_SHOP_SELECT_AN_ELEMENT	Select...
IKASHOP_SEARCH_SHOP_ITEM_TYPE_WEAPON	Weapon
IKASHOP_SEARCH_SHOP_ITEM_TYPE_ARMOR	Armor
IKASHOP_SEARCH_SHOP_ITEM_TYPE_JEWEL	Jewel
IKASHOP_SEARCH_SHOP_ITEM_TYPE_COSTUME	Costume
IKASHOP_SEARCH_SHOP_ITEM_TYPE_PET	Pet
IKASHOP_SEARCH_SHOP_ITEM_TYPE_MOUNT	Mount
IKASHOP_SEARCH_SHOP_ITEM_TYPE_ALCHEMY	Alchemy
IKASHOP_SEARCH_SHOP_ITEM_TYPE_BOOK	Book
IKASHOP_SEARCH_SHOP_ITEM_TYPE_STONE	Stone
IKASHOP_SEARCH_SHOP_ITEM_TYPE_MINERALS	Mineral
IKASHOP_SEARCH_SHOP_ITEM_TYPE_FISH	Fish
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_WEAPON_SWORD	Sword
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_WEAPON_TWOHANDED	Two Hand Sword
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_WEAPON_BLADE	Blade
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_WEAPON_DAGGER	Dagger
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_WEAPON_BOW	Bow
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_WEAPON_BELL	Bell
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_WEAPON_FAN	Fan
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_WEAPON_CLAW	Claw
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_ARMOR_WARRIOR	Warrior Armor
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_ARMOR_SURA	Sura Armor
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_ARMOR_ASSASSIN	Ninja Armor
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_ARMOR_SHAMAN	Shaman Armor
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_ARMOR_WOLFMAN	Wolfman Armor
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_JEWEL_HELM	Helm
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_JEWEL_SHIELD	Shield
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_JEWEL_EAR	Earrings
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_JEWEL_NECK	Necklace
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_JEWEL_WRIST	Wrist
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_JEWEL_SHOES	Shoes
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_COSTUME_BODY	Body
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_COSTUME_WEAPON	Weapon
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_COSTUME_HAIR	Hairs
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_COSTUME_SASH	Sash
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_PET_EGGS	Eggs
IKASHOP_SEARCH_SHOP_ITEM_SUBTYPE_PET_SEALS	Seal
IKASHOP_SEARCH_SHOP_ITEM_PRICE_MIN_HEADER	Price Min:
IKASHOP_SEARCH_SHOP_ITEM_PRICE_MAX_HEADER	Price Max:
IKASHOP_SEARCH_SHOP_ITEM_LEVEL_MIN_HEADER	Lv. Min:
IKASHOP_SEARCH_SHOP_ITEM_LEVEL_MAX_HEADER	Lv. Max:
IKASHOP_SEARCH_SHOP_SASH_ABSORB_HEADER	Sash Abs.:
IKASHOP_SEARCH_SHOP_ALCHEMY_GRADE_HEADER	Alchemy Grade:
IKASHOP_SEARCH_SHOP_SASH_GRADE_VALUE0	10% or more
IKASHOP_SEARCH_SHOP_SASH_GRADE_VALUE1	15% or more
IKASHOP_SEARCH_SHOP_SASH_GRADE_VALUE2	20% or more
IKASHOP_SEARCH_SHOP_SASH_GRADE_VALUE3	25% only
IKASHOP_SEARCH_SHOP_DRAGON_SOUL_GRADE_NORMAL	Normal
IKASHOP_SEARCH_SHOP_DRAGON_SOUL_GRADE_BRILLIANT	Brillant
IKASHOP_SEARCH_SHOP_DRAGON_SOUL_GRADE_RARE	Rare
IKASHOP_SEARCH_SHOP_DRAGON_SOUL_GRADE_ANCIENT	Ancient
IKASHOP_SEARCH_SHOP_DRAGON_SOUL_GRADE_LEGENDARY	Legendary
IKASHOP_SEARCH_SHOP_BUY_BUTTON_TEXT	Buy
IKASHOP_SEARCH_SHOP_OFFER_BUTTON_TEXT	Offer
IKASHOP_SEARCH_SHOP_OPEN_SHOP_BUTTON_TEXT	Open Shop
IKASHOP_SEARCH_SHOP_OPEN_AUCTION_BUTTON_TEXT	Open Auction
IKASHOP_SEARCH_SHOP_NO_FILTER_USED	Use at least one filter to start the search.
IKASHOP_SEARCH_SHOP_ITEM_NAME_AUCTION	(Auction)
IKASHOP_SEARCH_SHOP_HISTORY_WHAT_FORMAT	Searched Name : |cFFFFFF99|h{}|r (found {} items)
IKASHOP_SEARCH_SHOP_HISTORY_INFO_BUTTON_TEXT	Show Filter Informations
IKASHOP_SHOP_NAME_FORMAT	{}'s Shop
IKASHOP_SHOP_GUEST_BUY_ITEM_TOOLTIP	|Eemoji/key_lclick|e Buy
IKASHOP_SHOP_GUEST_EXPIRED	The shop is no longer available.
IKASHOP_SHOP_GUEST_OFFER_ITEM_TOOLTIP	|Eemoji/key_shift|e + |Eemoji/key_lclick|e Private Offer
IKASHOP_SHOP_GUEST_BUY_ITEM_QUESTION	Do you want to buy |cFFFFFF99|h{}|r sold at |cFFFFFF99|h{}|r?
IKASHOP_SHOP_GUEST_INVALID_OFFER_PRICE	You entered an invalid price.
IKASHOP_SHOP_GUEST_OFFER_MUST_BE_LOWER_THAN_PRICE	The bid must be lower than the sale price.
IKASHOP_SHOP_GUEST_OFFER_MUST_BE_HIGHER_THAN_PCT_OF_PRICE	The bid cannot be lower than |cFFFFFF99|h{}%|r of the sale price.
IKASHOP_SHOP_GUEST_OFFER_NOT_ENOUGH_MONEY	You do not have enough money to offer this amount.
IKASHOP_SHOP_GUEST_MAKE_OFFER_ITEM_PRICE_TOO_LOW	Cannot make private offers for item that costs less than 10.000 yangs.
IKASHOP_ACUTION_GUEST_RAISE_AUCTION_BUTTON	Raise
IKASHOP_AUCTION_GUEST_MIN_RAISE_REQUIRED	You cannot offer less than the min. raise.
IKASHOP_AUCTION_GUEST_NOT_ENOUGH_MONEY	You do not have enough money to offer this amount.
IKASHOP_AUCTION_GUEST_NAME_FORMAT	{}'s Auction
IKASHOP_AUCTION_LIST_BOARD_TITLE	Auction List
IKASHOP_OFFER_LIST_BOARD_TITLE	Offer List
IKASHOP_OFFER_LIST_DENY_OFFER_BUTTON_TEXT	Deny
IKASHOP_OFFER_LIST_CANCEL_OFFER_BUTTON_TEXT	Cancel
IKASHOP_OFFER_LIST_ACCEPT_OFFER_BUTTON_TEXT	Accept
IKASHOP_OFFER_LIST_ACCEPT_OFFER_QUESTION	By accepting the offer you will receive the price offered in exchange for the item. Do you want to accept the offer?
IKASHOP_OFFER_LIST_CANCEL_OFFER_QUESTION	The offer will be deleted. Do you want to continue?
IKASHOP_GENERIC_LIST_EMPTY_HEADER	The list is Empty.
IKASHOP_HISTORY_FILTER_LIST_BOARD_TITLE	Filters History
IKASHOP_SERVER_POPUP_MESSAGE_SAFEBOX_RECV_ITEM	Item inserted into the shopping safebox.
IKASHOP_SERVER_POPUP_PRIVATE_OFFER_CREATED	Offer successfully created.
IKASHOP_SERVER_POPUP_MESSAGE_CANNOT_DO_NOW	You cannot perform this operation right now.
IKASHOP_SERVER_POPUP_MESSAGE_CANNOT_CREATE_SHOP_ON_WRONG_PLACE	You cannot create a shop in this place.
IKASHOP_SERVER_POPUP_MESSAGE_GENERIC_ERROR	Something went wrong. (Generic error)
IKASHOP_SERVER_POPUP_MESSAGE_CANNOT_BUY_NOT_ENOUGH_MONEY	You do not have enough yang to complete the purchase.
IKASHOP_SERVER_POPUP_MESSAGE_CANNOT_BUY_PRICE_CHANGED	The price has been changed, please check the new price and try again.
IKASHOP_SERVER_POPUP_MESSAGE_CANNOT_MOVE_CLOSED_SHOP	You cannot move a closed shop.
IKASHOP_SERVER_POPUP_MESSAGE_CANNOT_ADD_USED_ITEM	This item is not available for sale at this time.
IKASHOP_SERVER_POPUP_MESSAGE_CANNOT_ADD_SEALED_ITEM	This item is not available for sale at this time.
IKASHOP_SERVER_POPUP_MESSAGE_SEARCH_COOLDOWN_STILL_ACTIVED	Wait 5 seconds between searches.
IKASHOP_SERVER_POPUP_MESSAGE_CREATE_OFFER_COOLDOWN_STILL_ACTIVED	Wait 10 seconds between one offer created and another.
IKASHOP_SERVER_POPUP_MESSAGE_SAFEBOX_CANNOT_GET_ITEM	You do not have enough space to collect the item.
IKASHOP_SERVER_POPUP_MESSAGE_CANNOT_CREATE_AUCTION_WRONG_PLACE	You cannot create an auction in this place.
IKASHOP_SERVER_POPUP_MESSAGE_CANNOT_CREATE_AUCTION_ITEM_SEALED	This item is not available for sale at this time.
IKASHOP_SERVER_POPUP_MESSAGE_PLEASE_SLOW_DOWN	Too many actions in a short time. Please wait a while and try again.
IKASHOP_SERVER_POPUP_MESSAGE_PENDING_PRIVATE_OFFER_LIMIT	You have reached the limit of pending private offers.
IKASHOP_SERVER_POPUP_MESSAGE_PENDING_PRIVATE_OFFER_ALREADY_EXIST	You have already made an offer for this item.
IKASHOP_SERVER_POPUP_MESSAGE_SAFEBOX_FULL	Your shopping safebox is too full. To proceed you must first lighten it.
IKASHOP_SERVER_POPUP_MESSAGE_CANNOT_RAISE_OVER_YOURSELF	You are already the highest bidder in this auction.
IKASHOP_PRO_SHOP_GUEST_BUY_ALL_ITEM_TOOLTIP	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e Buy all those at this price
IKASHOP_PRO_SHOP_GUEST_BUY_ALL_ITEMS_QUESTION	Do you want to buy all |cFFFFFF99|h{}|r sold at |cFFFFFF99|h{}|r?
IKASHOP_PRO_NOTIFICATION_BOARD_TITLE	Notifications
IKASHOP_PRO_NOTIFICATION_SELLER_SOLD_ITEM	You sold |cFFFFFF99|h{}|r for |cFFFFFF99|h{}|r.
IKASHOP_PRO_NOTIFICATION_SELLER_NEW_OFFER_ON_ITEM	You have received an offer for |cFFFFFF99|h{}|r.
IKASHOP_PRO_NOTIFICATION_SELLER_SHOP_EXPIRED	Your shop has expired!
IKASHOP_PRO_NOTIFICATION_SELLER_ITEM_EXPIRED	Your |cFFFFFF99|h{}|r has expired and has been removed from your shop.
IKASHOP_PRO_NOTIFICATION_SELLER_AUCTION_NEW_OFFER	Your auction of |cFFFFFF99|h{}|r has received a new bid.
IKASHOP_PRO_NOTIFICATION_SELLER_AUCTION_EXPIRED	Your auction of |cFFFFFF99|h{}|r has expired.
IKASHOP_PRO_NOTIFICATION_SELLER_AUCTION_SOLD	Your |cFFFFFF99|h{}|r auction has ended. |cFFFFFF99|h{}|r purchased the item for |cFFFFFF99|h{}|r yangs.
IKASHOP_PRO_NOTIFICATION_SELLER_OFFER_CANCELLED	The offer for |cFFFFFF99|h{}|r was cancelled by the bidder.
IKASHOP_PRO_NOTIFICATION_BUYER_OFFER_DENIED	Your offer of |cFFFFFF99|h{}|r for |cFFFFFF99|h{}|r was rejected by the seller.
IKASHOP_PRO_NOTIFICATION_BUYER_OFFER_ACCEPTED	Your offer of |cFFFFFF99|h{}|r for |cFFFFFF99|h{}|r has been accepted.
IKASHOP_PRO_NOTIFICATION_BUYER_OFFER_EXPIRED	Your offer of |cFFFFFF99|h{}|r for |cFFFFFF99|h{}|r has been canceled.
IKASHOP_PRO_NOTIFICATION_BUYER_AUCTION_BUY	You won the auction of |cFFFFFF99|h{}|r by paying |cFFFFFF99|h{}|r.
IKASHOP_PRO_NOTIFICATION_BUYER_AUCTION_RAISE	|cFFFFFF99|h{}|r has outbid you for |cFFFFFF99|h{}|r.
IKASHOP_PRO_NOTIFICATION_BUYER_AUCTION_LOST	|cFFFFFF99|h{}|r won the auction of |cFFFFFF99|h{}|r for |cFFFFFF99|h{}|r.
IKASHOP_PRO_BUSINESS_NOTIFICATION_OPEN_BUTTON_TEXT	Open Notification Board
IKASHOP_PRO_BUSINESS_REMOVE_ALL_SIMILAR_ITEM_TOOLTIP	|Eemoji/key_rclick|e + |Eemoji/key_ctrl|e Remove all similar Items
IKASHOP_PRO_BUSINESS_REMOVE_ALL_SIMILAR_ITEMS_QUESTION	All |cFFFFFF99|h{}|r will be moved to Inventory or Shopping Safebox. Do You want to continue?
IKASHOP_PRO_BUSINESS_EDIT_ALL_SIMILAR_ITEM_TOOLTIP	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Edit Price of all similar Items.
IKASHOP_PRO_SHOP_RANGE_VIEW_HEADER	Shop view
IKASHOP_PRO_BUSINESS_MOVE_SHOP_BUTTON_TEXT	Shop Repositioning
IKASHOP_PRO_BUSINESS_MOVE_SHOP_NO_MONEY	You don't have enough money.
IKASHOP_PRO_BUSINESS_MOVE_SHOP_QUESTION	Do you want to move the shop to your current location? The operation will cost |cFFFFFF99|h{}|r.
IKASHOP_ULTIMATE_PRICE_AVERAGE_REQUESTING	Average Price: |cFF99FF99|hRequesting...|r
IKASHOP_ULTIMATE_PRICE_AVERAGE_NOT_AVAILABLE	Average Price: |cFFFF9999|hNot available|r
IKASHOP_ULTIMATE_PRICE_AVERAGE_VALUE	Average Price: |cFFFFFF99|h{}|r
IKASHOP_ULTIMATE_PRICE_AVERAGE_EMOJI	|Eikashop/ultimate/average.png|e |cFFFFFF99|h{}|r
IKASHOP_ULTIMATE_PRICE_AVERAGE_NOT_AVAILABLE_EMOJI	|Eikashop/ultimate/average.png|e |cFFFF9999|hUnknown|r
IKASHOP_ULTIMATE_SHOP_SKIN_BOARD_TITLE	Shop Decorations
IKASHOP_ULTIMATE_SHOP_SKIN_NAME	Shop Decoration n.{}
IKASHOP_ULTIMATE_SHOP_SKIN_USAGE_QUESTION	Using it the item will be destroyed and change the appearance of your shop for 15 days. Do you want to continue?
IKASHOP_ULTIMATE_SHOP_PRIVATE_KEY_MULTIUSE_TOOLTIP	|Eemoji/key_rclick|e + |Eemoji/key_ctrl|e Use x10
IKASHOP_ULTIMATE_PREMIUM_AFFECT_DESCRIPTION	Search Shop Premium
IKASHOP_ULTIMATE_SORT_BY_PRICE_CHECKBOX	Sort by price
IKASHOP_ULTIMATE_SORT_BY_PRICE_PREMIUM_FEATURE	The Search Shop Premium is required to use this feature.
IKASHOP_ULTIMATE_PRIVATE_SHOP_KEY_SHOP_FULL_UNLOCKED	You have already unlocked all the slots in the shop.
IKASHOP_ULTIMATE_SEARCH_SHOP_PREMIUM_ALREADY_ACTIVE	Search Shop Premium is already active.
IKASHOP_ULTIMATE_NOTIFICATION_SELLER_DECORATION_EXPIRED	Your |cFFFFFF99|hShop Decoration|r is expired.
